Scientific_Name,Name_In_Text,Key,English_Name
Gempylidae,,4272,Snake mackerels
Gerreidae,,4273,Mojarras
Gerres,,2369369,Yellowfin Mojarras
Gobiidae,,4274,Gobies
Gymnothorax,,2403463,Common Morays
Haemulidae,,12142559,
Hemiramphidae,,7191,Halfbeaks
Hemiramphus,,2368949,
Hippocampus,,8156547,Seahorse
Hipposcarus longiceps,,2393846,Pacific Longnose Parrotfish
Holocentridae,,7195,Soldierfishes
Holocentrus,,3241028,Soldierfishes
Istiophoridae,,9670,Billfishes
Istiophorus platypterus,,5211984,Indo-Pacific Sailfish
Katsuwonus pelamis,,2374191,Arctic bonito
Kuhliidae,,7008,Aholeholes
Kyphosidae,,4279,Pilotfishes
Kyphosus,,2381286,Rudderfishes
Labridae,,8535,Wrasse
Labridae,,8535,Wrasse
Latidae,,4281,lates perches
Leiognathidae,,4283,Ponyfishes
Lethrinidae,,8540,Porgies
Lethrinus,,2374822,Porgies
Lethrinus elongatus,,2374852,longnose emperor
Lutjanidae,,8542,Fusiliers
Lutjanus kasmira,,2385129,Common Bluestripe Snapper
Lutjanus monostigma,,2385027,One-spot Snapper
Megalopidae,,7661,tarpons
Mobulidae,,4288040,Devil Rays
Monacanthidae,,5896,Filefishes
Monacanthidae,,5896,Filefishes
Monodactylidae,,4286,Fingerfishes
Monotaxis grandoculis,,5208715,Humpnose Big-eye Bream
Mugilidae,,8473,Grey Mullets
Mugiloididae,,4284344,
Mulloides,,6786847,
Muraenesocidae,,2952,False Conger Eels
Muraenidae,,2953,moray eels
Myliobatidae,,2193,Eagle Ray
Myripristis,,2356983,
Naso,,2379541,Nosefishes
Naso brevirostris,,9760005,Palefin Unicornfish
Naso unicornis,,5209124,Bluespine Unicornfish
Nemipteridae,,4288,False Snappers
Nemipterus,,2379945,Besugos
Novaculichthys,,2383279,
Ophichthidae,,9699861,
Ostraciidae,,2220,Boxfishes
Ostracion,,2407938,Trunkfishes
Paralichthyidae,,5082,Lefteye Flounders
Parapercidae,,4284918,
Parupeneus,,2396603,
Pempheridae,,8573,Sweepers
Pempheris,,2374368,
Pinguipedidae,,8589,Sandperches
Platacidae,,9408631,
Platax,,2370014,
Platycephalidae,,5101,Flatheads
Plectorhinchus,,2382617,Sweetlips
Haemulidae,Plectorhinchinae,12142559,
Plectropomus,,8252335,
Pleuronectidae,,8611,Dabs
Plotosidae,,5164,Eeltail Catfishes
Plotosus,,2341900,
Plotosus anguillaris,,2341909,striped sea catfish
Plotosus lineatus,,7965247,Striped Eel Catfish
Polynemidae,,8592,Threadfins
Pomacanthidae,,4498,Angelfishes
Pomacentridae,,4499,Damselfishes
Pomadasyidae,,4284576,grunts
Priacanthidae,,8593,Bigeyes
Pseudobalistes fuscus,,2407175,Yellowspotted Triggerfish
Remora remora,,2375267,Common Remora
Sardinella,,2387162,Sardinella
Sargocentron,,2356717,
Sargocentron spiniferum,,2356873,Sabre Squirrelfish
Saurida,,2401132,
Scaridae,,6075942,
Scarus,,2371535,Parrotfishes
Scomberoides,,2390854,Leatherjackets
Scomberoides lysan,,2390871,Doublespotted Queenfish
Scomberomorus,,2374232,Spanish Mackerels
Scomberomorus commerson,,2374255,Narrow-barred Spanish Mackerel
Scombridae,,8596,Tunas And Mackerels
Selar crumenophthalmus,,2391007,Bigeye Scad
Serranidae,,8597,Groupers
Siganidae,,5066,Rabbitfishes
Siganus,,2390168,Rabbitfishes
Siganus argenteus,,2390180,Forktail Rabbitfish
Siganus punctatus,,2390198,Gold-spotted Rabbitfish
Siganus spinus,,2390216,Scribbled Rabbitfish
Soleidae,,8612,Soles
Sphyraena,,2369201,Barracuda
Sphyrnidae,,2207,bonnethead sharks
Synanceia,,5201173,
Synanceiidae,,4510,stonefishes
Synodontidae,,2967,Bombay Ducks
Terapon jarbua,,2374521,Tiger Perch
Teraponidae,,4284572,tigerfishes
Tetraodontidae,,2219,Pufferfishes
Thunnus albacares,,2374013,Yellowfin Tuna
Valamugil cunnesius,,2400955,longarm mullet
Xiphiidae,,8604,Swordfish and billfishes
Zanclidae,,5077,Moorish Idols
Zanclus canescens,,2374665,
Zebrasoma veliferum,,2379877,Sailfin Tang
Anoplura,,5430023,
Hymenoptera,Apoidea,1457,"Ants, Bees, Wasps, And Sawflies"
Araneae,,1496,Spider
Bibionidae,,7281,March Fly
Blattodea,,5430688,
Ceratopogonidae,,3340,Biting Midge
Chilopoda,,360,Centiped
Chironomidae,,3343,Midges
Coleoptera,,10313671,
Culicidae,,3346,Mosquito
Diplopoda,,361,millipedes
Diptera,,3230674,
Drosophilidae,,5547,Vinegar And Fruit Flies
Formicidae,,8674597,
Hemiptera,,809,Bugs
Hirudinea,,4860945,
Ichneumonidae,,3512,Ichneumonid Wasps
Isoptera,,11374070,
Lampyridae,,4737,Firefly Beetles
Coleoptera,,10313671,
Lepidoptera,,797,Butterflies & Moths
Mantodea,,788,Mantis
Pediculidae,,7930,
Phasmida,Phasmatodea,1460,Leaf Insects
Psychodidae,,9164,Moth Flies And Sand Flies
Scorpiones,,872,scorpion
Simuliidae,,3522,Black Fly
Sphecidae,,4352,Thread-waisted Wasps
Tabanidae,,6919,Horse And Deer Flies
Tephritidae,,3520,Fruit Flies
Vespidae,,4490,"Hornets, Paper Wasps, Potter Wasps, And Allies"
Acrobatidae,,5456,FEATHER-TAILED GLIDERS AND FEATHER-TAILED POSSUM
Burramyidae,,9371,PYGMY POSSUMS
Canidae,,9701,Canid
Canis,,5219142,"Wolves, Jackals, And Allies"
Caretta caretta,,8894817,Loggerhead
Chelonia mydas,,2442225,Green Turtle
Chelonidae,,4287910,
Crocodylidae,,5685,Crocodiles
Crocodylus novaeguineae,,2441326,New Guinea Crocodile
Crocodylus porosus,,2441333,Saltwater Crocodile
Dasyuridae,,5452,CARNIVOROUS MARSUPIALS
Dasyuridae,,5452,CARNIVOROUS MARSUPIALS
Delphinidae,,5314,Dolphin
Dendrolagus,,2440205,Huon Tree Kangaroo
Dendrolagus dorianus,,2440213,Doria's Tree Kangaroo
Dendrolagus goodfellowi,,2440222,Goodfellow's Tree Kangaroo
Dendrolagus inustus,,2440217,Grizzled Tree Kangaroo
Dendrolagus matschiei,,2440206,Huon Tree Kangaroo
Dendrolagus pulcherrimus,,2440220,Golden-mantled Tree Kangaroo
Dendrolagus scottae,,2440207,Tenkile
Dermochelys coriacea,,9789983,Leatherback Sea Turtle
Dobsonia moluccensis,,2432822,Moluccan Naked-backed Fruit Bat
Dorcopsis,,2440137,New Guinea forest wallaby
Dorcopsulus,,2440202,
Dugong dugon,,9729967,Dugong
Dugongidae,,9462,DUGONG
Echymipera,,2435316,New Guinean spiny bandicoot
Elapidae,,9455,Cobras
Eretmochelys imbricata,,8841716,Hawksbill
Gekkonidae,,5666,Geckos
Iguanidae,,6935,American Arboreal Lizards
Macropodidae,,9372,KANGAROOS AND WALLABIES
Macropus agilis,,5219975,Agile Wallaby
Microperoryctes,,2435338,New Guinean mouse bandicoot
Muridae,,5510,Old World Mice And Rats
Mus musculus,,7429082,House Mouse
Peroryctidae,,4288025,
Petaurus breviceps,,2440043,Sugar Glider
Phalanger orientalis,,2440259,Northern Common Cuscus
Phalangeridae,,5459,BRUSH-TAILED
Phascogale,,2435447,brush-tailed marsupial 'mice'
Pseudocheiridae,,9374,RING-TAILED POSSUMS AND GREATER GLIDERS
Pteropodidae,,9367,Flying Foxes
Pteropus,,2432854,Flying Foxes
Rattus exulans,,2439244,Polynesian Rat
Rattus norvegicus,,2439261,Brown Rat
Rattus praetor,,2439229,Large Spiny Rat
Rattus rattus,,2439270,Black Rat
Rattus tanezumi,,2439262,Oriental House Rat
Scincidae,,9115,Skink
Serpentes,,11205692,snake
Spilocuscus maculatus,,9818309,Common Spotted Cuscus
Suidae,,5302,Swines
Sus,,2441213,Boars And Warty Pigs
Sus scrofa,,7705930,Feral Pig
Tachyglossidae,,5941,ECHIDNAS
Tachyglossus,,2433377,short-nosed echidna
Thylogale,,2440159,pademelon
Thylogale browni,,2440169,New Guinea Pademelon
Varanidae,,5023,Monitor Lizards
Varanus indicus,,2470752,Mangrove Monitor
Zaglossus,,2433384,Barton's Long-beaked Echidna
