ID,Name,Description,Category,Comment,Cognateset_ID,CognatesetReference_ID,Chapter_ID
3-5-5-6-162-PPn-poumuli-a-1,,,,,3-5-5-6-162-PPn-poumuli-a,3-5-5-6-162-PPn-poumuli-a,3-5
3-5-5-9-166-POc-qope-a-1,,,,,3-5-5-9-166-POc-qope-a,3-5-5-9-166-POc-qope-a,3-5
3-5-5-13-171-POc-qarop-a-1,,,,,3-5-5-13-171-POc-qarop-a,3-5-5-13-171-POc-qarop-a,3-5
3-7-4-2-192-POc-mmasoqu-a-1,,,,,3-7-4-2-192-POc-mmasoqu-a,3-7-4-2-192-POc-mmasoqu-a,3-7
3-7-4-12-206-POc-pasarr-a-1,,,,,3-7-4-12-206-POc-pasarr-a,3-7-4-12-206-POc-pasarr-a,3-7
3-7-5-7-214-POc-paqu-a-1,,,,,3-7-5-7-214-POc-paqu-a,3-7-5-7-214-POc-paqu-a,3-7
3-7-5-10-220-PMM-tita-a-1,,,,,3-7-5-10-220-PMM-tita-a,3-7-5-10-220-PMM-tita-a,3-7
3-7-6-1-226-PEOc-sinu-a-1,,,,,3-7-6-1-226-PEOc-sinu-a,3-7-6-1-226-PEOc-sinu-a,3-7
3-8-2-2-239-PCP-doi-a-1,,,,,3-8-2-2-239-PCP-doi-a,3-8-2-2-239-PCP-doi-a,3-8
3-9-2-1-262-POc-pasepe-a-1,,,,,3-9-2-1-262-POc-pasepe-a,3-9-2-1-262-POc-pasepe-a,3-9
3-9-2-1-262-POc-patika-a-1,,,,,3-9-2-1-262-POc-patika-a,3-9-2-1-262-POc-patika-a,3-9
3-9-2-1-263-PWOc-kamisa-a-1,,,,,3-9-2-1-263-PWOc-kamisa-a,3-9-2-1-263-PWOc-kamisa-a,3-9
3-9-2-1-264-PWOc-mamisa-a-1,,,,,3-9-2-1-264-PWOc-mamisa-a,3-9-2-1-264-PWOc-mamisa-a,3-9
3-9-2-1-264-PROc-damu-a-1,,,,,3-9-2-1-264-PROc-damu-a,3-9-2-1-264-PROc-damu-a,3-9
3-9-3-None-279-POc-baqun-a-1,,,,,3-9-3-None-279-POc-baqun-a,3-9-3-None-279-POc-baqun-a,3-9
